x_pos_m,T_hot_C,T_cold_C,T_wall_hot_C,T_wall_cold_C,regime_cold,onb,x_di,x_quality,dP_hot_kPa,dP_cold_kPa,h_cold_W_m2K,h_hot_W_m2K,q_cell_W
0,326.85,306.8848,,,init,,,0,0,0.95245,0,0,0
0.01,326.8417,306.4164,326.4442,325.7975,superheated,,,1,0.187604,0.951922,683.8401,31867.6669,81.221
0.02,326.8332,305.9381,326.4258,325.7632,superheated,,,1,0.375202,0.951404,685.0305,31866.8507,83.2294
0.03,326.8245,305.4495,326.407,325.728,superheated,,,1,0.562796,0.950894,686.2619,31866.0138,85.289
0.04,326.8156,304.9504,326.3877,325.6919,superheated,,,1,0.750384,0.950391,687.536,31865.1558,87.4011
0.05,326.8064,304.4408,326.368,325.6548,superheated,,,1,0.937967,0.94842,688.8546,31864.2762,89.5674
0.06,326.797,303.9205,326.3477,325.6169,superheated,,,1,1.125545,0.945514,690.2196,31863.3744,91.7892
0.07,326.7874,303.3892,326.3269,325.578,superheated,,,1,1.313116,0.941818,691.6332,31862.4498,94.0682
0.08,326.7776,302.8469,326.3056,325.538,superheated,,,1,1.500682,0.937408,693.0976,31861.5019,96.4061
0.09,326.7675,302.2932,326.2838,325.4971,superheated,,,1,1.688243,0.932329,694.6149,31860.53,98.8045
0.1,326.7571,301.7281,326.2614,325.4551,superheated,,,1,1.875797,0.92661,696.1877,31859.5337,101.2652
0.11,326.7466,301.1514,326.2384,325.412,superheated,,,1,2.063344,0.920274,697.8186,31858.5122,103.79
0.12,326.7357,300.5629,326.2148,325.3678,superheated,,,1,2.250886,0.913332,699.5103,31857.465,106.3809
0.13,326.7246,299.9625,326.1907,325.3225,superheated,,,1,2.438421,0.905795,701.2657,31856.3913,109.0399
0.14,326.7132,299.3499,326.1659,325.276,superheated,,,1,2.625949,0.89767,703.088,31855.2906,111.769
0.15,326.7015,298.7251,326.1404,325.2282,superheated,,,1,2.81347,0.888963,704.9805,31854.162,114.5705
0.16,326.6895,298.0879,326.1143,325.1793,superheated,,,1,3.000985,0.879677,706.9467,31853.005,117.4465
0.17,326.6772,297.438,326.0876,325.129,superheated,,,1,3.188492,0.869816,708.9904,31851.8186,120.3995
0.18,326.6646,296.7755,326.0601,325.0774,superheated,,,1,3.375992,0.859387,711.1158,31850.6023,123.4319
0.19,326.6517,296.1001,326.0319,325.0244,superheated,,,1,3.563484,0.848398,713.3271,31849.3552,126.5464
0.2,326.6384,295.4117,326.003,324.97,superheated,,,1,3.750968,0.836857,715.6291,31848.0765,129.7456
0.21,326.6249,294.7101,325.9733,324.9141,superheated,,,1,3.938444,0.824783,718.0267,31846.7654,133.0326
0.22,326.6109,293.9954,325.9428,324.8567,superheated,,,1,4.125913,0.812199,720.5255,31845.421,136.4102
0.23,326.5967,293.2673,325.9115,324.7977,superheated,,,1,4.313372,0.799142,723.1313,31844.0424,139.8817
0.24,326.582,292.5257,325.8793,324.7372,superheated,,,1,4.500824,0.78567,725.8505,31842.6287,143.4506
0.25,326.567,291.7707,325.8463,324.6749,superheated,,,1,4.688266,0.771881,728.6899,31841.179,147.1203
0.26,326.5516,291.002,325.8123,324.611,superheated,,,1,4.875699,0.757951,731.6571,31839.6922,150.8948
0.27,326.5358,290.2197,325.7775,324.5452,superheated,,,1,5.063123,0.744021,734.7603,31838.1674,154.7781
0.28,326.5196,289.4237,325.7417,324.4775,superheated,,,1,5.250538,0.730093,738.0084,31836.6035,158.7745
0.29,326.503,288.6141,325.7048,324.408,superheated,,,1,5.437943,0.716169,741.4113,31834.9994,162.8887
0.3,326.4859,287.7907,325.667,324.3364,superheated,,,1,5.625337,0.702251,744.9796,31833.3539,167.1258
0.31,326.4684,286.9536,325.628,324.2627,superheated,,,1,5.812722,0.688339,748.7253,31831.6659,171.4911
0.32,326.4504,286.103,325.588,324.1868,superheated,,,1,6.000096,0.674435,752.6614,31829.9342,175.9904
0.33,326.432,285.2388,325.5467,324.1086,superheated,,,1,6.187459,0.660543,756.8026,31828.1573,180.6301
0.34,326.4131,284.3612,325.5043,324.028,superheated,,,1,6.374811,0.646664,761.1649,31826.334,185.4171
0.35,326.3936,283.4703,325.4606,323.945,superheated,,,1,6.562151,0.632799,765.7663,31824.4629,190.359
0.36,326.3736,282.5664,325.4155,323.8593,superheated,,,1,6.74948,0.618953,770.6272,31822.5425,195.464
0.37,326.3531,281.6497,325.3691,323.7708,superheated,,,1,6.936797,0.605127,775.7699,31820.5711,200.7412
0.38,326.3321,280.7204,325.3212,323.6795,superheated,,,1,7.124102,0.591325,781.2201,31818.5472,206.2008
0.39,326.3104,279.779,325.2718,323.5851,superheated,,,1,7.311394,0.57755,787.0065,31816.4689,211.8541
0.4,326.2882,278.8259,325.2207,323.4874,superheated,,,1,7.498673,0.563805,793.1617,31814.3345,217.7137
0.41,326.2653,277.8614,325.168,323.3862,superheated,,,1,7.685938,0.550095,799.7226,31812.1419,223.7935
0.42,326.2418,276.8864,325.1134,323.2813,superheated,,,1,7.87319,0.536423,806.7317,31809.8891,230.1097
0.43,326.2176,275.9013,325.0569,323.1725,superheated,,,1,8.060427,0.522796,814.2372,31807.5737,236.6802
0.44,326.1927,275.585,324.9984,323.0595,superheated,,,0.997864,8.24765,0.509218,822.2946,31805.1934,243.5255
0.45,326.1689,275.585,325.0263,323.1715,post_dryout,,0.909003,0.994898,8.43486,0.495697,779.5444,31802.7455,232.9615
