node,x_pos,T_hot,T_cold,x_cold,x_hot,regime_cold,regime_hot,P_cold,P_hot,H_cold,H_hot,U,h_hot,h_cold,q_cell,q_flux
0,0.0,600.0,530.0,0.0,0.0,init,init,6000000.0,15000000.0,1119174.4321937482,1497654.8398541238,0.0,0.0,0.0,0.0,0.0
1,0.04,599.785413598247,538.4893933304138,0.0,0.0,subcooled,subcooled,5999997.901952939,14999249.566084744,1161446.3388585576,1496245.77629863,1201.9991658530446,31867.66690207479,1332.3250926507983,2113.5953332404765,84139.94160989158
2,0.08,599.6000203970094,545.6403750909757,0.0,0.0,subcooled,subcooled,5999995.84501324,14998499.644110646,1197883.5703724346,1495031.201914834,1183.2144451648255,31845.914846324467,1309.3218844279058,1821.8615756938468,72526.3366120162
3,0.12,599.4388332407668,548.7349899924136,0.009917134599854684,0.0,two_phase,subcooled,5999993.820028739,14997750.161491752,1229499.2855311292,1493977.3447428776,1166.2302260815434,31827.307993824386,1288.5866170737463,1580.7857579347346,62929.36934453561
4,0.16,597.9569788708316,548.7349899924136,0.1937337864743135,0.0,two_phase,subcooled,5999991.788029128,14997001.058618603,1518213.9841446602,1484353.5214557599,11333.874115318386,31811.27190650865,147152.18149304303,14435.734930676548,574670.9765396715
5,0.2,596.503969346308,548.7349899924136,0.3714157955692046,0.0,two_phase,subcooled,5999989.292763853,14996255.379067726,1797293.203474115,1475050.8808114447,11285.445577237884,31667.950811348674,142206.28770501603,13953.960966472754,555492.0766907943
6,0.24,595.0812264185249,548.7349899924136,0.5431139305210487,0.0,two_phase,subcooled,5999986.09216133,14995512.916436292,2066973.7508000617,1466061.5292339132,11237.094369054132,31535.780471545688,137344.45631200523,13484.027366297332,536784.5289131104
7,0.28,593.6896559454487,548.7349899924136,0.7090073947129271,0.0,two_phase,subcooled,5999981.688769628,14994773.479559138,2327537.094913326,1457376.0844301376,11190.492896907843,31413.47842224606,132835.65218209464,13028.167205663232,518637.2295248102
8,0.32,592.3298454064858,548.7349899924136,0.8692825807875484,0.0,two_phase,subcooled,5999974.775025162,14994036.891552702,2579275.9965356095,1448984.787709395,11146.176795673027,31299.93858062265,128734.63963786545,12586.94508111417,501072.65450295265
9,0.36,591.0020338679827,557.0706550194461,1.0,0.0,superheated,subcooled,5999959.384201037,14993302.988628909,2822504.3647678937,1440877.1754349854,11105.275931142232,31194.211939445115,125155.49549903991,12161.418411614219,484132.8985515215
10,0.4,590.9342316159263,560.0064159237969,1.0,0.0,superheated,subcooled,5999927.925763176,14992571.619156294,2834821.1522200755,1440466.615853246,722.514068778642,31095.474195004186,768.1098763007519,615.8393726090786,24515.89859112574
11,0.44,590.8735181303728,562.7210409476497,1.0,0.0,superheated,subcooled,5999895.964921777,14991840.37543457,2845840.9639076227,1440099.2887969946,709.2107237187247,31090.625784143067,753.0947725723568,550.9905843773661,21934.33855005438
12,0.48,590.8190625335069,565.2220050865304,1.0,0.0,superheated,subcooled,5999863.549290783,14991109.243990058,2855716.7934655505,1439770.094478397,698.2442052541209,31086.301745291665,740.7433833674086,493.7914778963966,19657.304056385216
13,0.52,590.7701599920285,567.5193137261863,1.0,0.0,superheated,subcooled,5999830.722059004,14990378.21296158,2864578.273861327,1439474.7117985378,689.0751799363422,31082.438984751727,730.434604368654,443.0740197888388,17638.296966116195
14,0.56,590.7262032008264,569.6244081414947,1.0,0.0,superheated,subcooled,5999797.522400292,14989647.271850675,2872536.9708522093,1439209.4218988416,681.3238234151685,31078.984238091132,721.7325640988115,397.93484954410627,15841.355475481938
15,0.6,590.686663092312,571.5494344739718,1.0,0.0,superheated,subcooled,5999763.985840346,14988916.411328604,2879689.9686145745,1438970.988640096,674.7129683397098,31075.891830936554,714.3201867157287,357.6498881182616,14237.654781777928
16,0.64,590.6510750855061,573.3067503576705,1.0,0.0,superheated,subcooled,5999730.1445879685,14988185.623081952,2886122.4278839515,1438756.5733311167,669.0342774742568,31073.122156516958,707.9598033570957,321.6229634688554,12803.461921530868
17,0.68,590.6190288396195,574.9085913429991,1.0,0.0,superheated,subcooled,5999696.027835749,14987454.899685796,2891909.4927862277,1438563.6711677075,664.1272898369624,31070.64058693751,702.4688237308789,289.35324511380884,11518.839375549715
18,0.72,590.5901603356859,576.3668473863668,1.0,0.0,superheated,subcooled,5999661.6620337665,14986724.234497448,2897117.764181172,1438390.0621212095,659.865916362287,31068.416661023704,697.7040970164578,260.41356974721623,10366.782235159882
19,0.76,590.5641455734635,577.6929166304016,1.0,0.0,superheated,subcooled,5999627.071139105,14985993.62156609,2901806.471763324,1438233.771868471,656.1494237173712,31066.423457239533,693.5514949293168,234.43537910759557,9332.618595047594
20,0.8,590.5406954330148,578.8976141777357,1.0,0.0,superheated,subcooled,5999592.276843496,14985263.055555027,2906028.428693062,1438093.039970813,652.8962174888419,31064.63709579694,689.9187452325087,211.0978464869145,8403.576691358061
21,0.84,590.519551404645,579.9911202779359,1.0,0.0,superheated,subcooled,5999557.298781049,14984532.531674204,2909830.8239678345,1437966.293461654,650.0394325461242,31063.03633433459,686.7303596106194,190.11976373862296,7568.461932270023
22,0.88,590.5004819852941,580.9829567994253,1.0,0.0,superheated,subcooled,5999522.1547177965,14983802.045621226,2913255.890232168,1437852.1245861764,647.5237272852496,31061.60223353534,683.9239541575554,171.25331321669304,6817.408965632685
23,0.92,590.4832795993342,581.8819839040898,1.0,0.0,superheated,subcooled,5999486.86072457,14983071.593529494,2916341.473595886,1437749.2718073858,645.3029029776455,31060.31787646156,681.4475225653263,154.27916818589145,6141.6866316039595
24,0.96,590.4677579409336,582.6964109839399,1.0,0.0,superheated,subcooled,5999451.431334624,14982341.171922445,2919121.5247234623,1437656.6034364665,643.3381031392786,31059.16813011277,679.2573777905199,139.00255637881864,5533.541257118576
25,1.0,590.4537496616286,583.4338174597139,1.0,0.0,superheated,subcooled,5999415.879687232,14981610.777672982,2921626.525519183,1437573.1034099425,641.5964298611459,31058.13944083597,677.3165733807907,125.25003978602308,4986.06846281939
26,1.04,590.4411043450262,584.1011801696754,1.0,0.0,superheated,subcooled,5999380.217658449,14980880.407967431,2923883.8623071485,1437497.8588503436,640.0498658261866,31057.219657348418,675.5936758052272,112.86683939828568,4493.106663944493
27,1.08,590.4296867235436,584.7049049148465,1.0,0.0,superheated,subcooled,5999344.455980085,14980150.060273444,2925918.1539724227,1437430.0491281678,638.6744243189495,31056.39787661663,674.0617981011155,101.71458326369927,4049.1474229179644
28,1.12,590.4193751014948,585.2508603556264,1.0,0.0,superheated,subcooled,5999308.604347892,14979419.732311344,2927751.541764596,1437368.936201762,637.4494718607525,31055.664308887128,672.697831026334,91.66938960865716,3649.2591404720206
29,1.16,590.4100599557711,585.7444129298303,1.0,0.0,superheated,subcooled,5999272.6715198755,14978689.422028517,2929403.946158898,1437313.8560552853,636.3571832900882,31055.010158951518,671.4818254859603,82.62021971510907,3289.0214854740875
30,1.2,590.4016426905847,586.1904618227378,1.0,0.0,superheated,subcooled,5999236.665405569,14977959.127576498,2930893.2951853443,1437264.211087737,635.3820996558254,31054.427521287584,670.3964921943264,74.4674513223113,2964.4686035951954
31,1.24,590.39403452676,586.5934732940148,1.0,0.0,superheated,subcooled,5999200.593147059,14977228.847290423,2932235.7278810893,1437219.463331212,634.5107667554885,31053.90928716473,669.4267931502155,67.12163478725802,2672.0396014035837
32,1.28,590.3871555091604,586.957513875014,1.0,0.0,superheated,subcooled,5999164.461192484,14976498.579670621,2933445.775932122,1437179.1283961777,633.7314375237868,31053.44906212744,668.559605695564,60.50240255163203,2408.535133424842
33,1.32,590.3809336183538,587.2862821083563,1.0,0.0,superheated,subcooled,5999128.275362659,14975768.323366081,2934536.5261038262,1437142.7700571208,633.0338254026813,31053.041092536514,667.7834444463706,54.5375085852105,2171.079163423985
34,1.36,590.3753039745392,587.5831386215322,1.0,0.0,superheated,subcooled,5999092.040911454,14975038.077159606,2935519.765684894,1437109.9954044186,632.4088987325512,31052.680200053688,667.0882297263992,49.16197905337063,1957.0851533985124
35,1.4000000000000001,590.3702081234497,587.8511344162797,1.0,0.0,superheated,subcooled,5999055.76258047,14974307.839954479,2936406.112863413,1437080.450498468,631.8487083843959,31052.36172311738,666.4650936359398,44.31735892595586,1764.2260718931473
36,1.44,590.3655933952411,588.093037322602,1.0,0.0,superheated,subcooled,5999019.444648552,14973577.610762466,2937205.1337017487,1437053.8164705236,631.3462425058169,31052.081464596587,665.9062167814692,39.95104191677907,1590.4077196170012
37,1.48,590.3614123285213,588.3113566155935,1.0,0.0,superheated,subcooled,5998983.090976583,14972847.38869304,2937925.4471662417,1437029.8060217071,630.8953035185474,31051.83564491959,665.4046901392484,36.015673224650776,1433.74495321062
38,1.52,590.3576221525826,588.5083658289137,1.0,0.0,superheated,subcooled,5998946.705048019,14972117.172943676,2938574.819490133,1437008.1602775773,630.490403482334,31051.620860064395,664.9543976420812,32.46861619456067,1292.5404536051221
39,1.56,590.3541843217788,588.6861238238735,1.0,0.0,superheated,subcooled,5998910.2900055405,14971386.962791124,2939160.248996855,1436988.6459606865,630.126674700558,31051.434043877412,664.5499159461889,29.27147533610981,1165.2657379024606
40,1.6,590.3510640965955,588.8464941901661,1.0,0.0,superheated,subcooled,5998873.84868419,14970656.757583553,2939688.0423810096,1436971.0528478813,629.7997930395134,31051.272434252314,664.1864285148444,26.38966920771731,1050.5441563581733
41,1.6400000000000001,590.3482301666332,588.9911630651843,1.0,0.0,superheated,subcooled,5998837.383641328,14969926.556733478,2940163.883332057,1436955.1914828464,629.5059119042681,31051.1335427542,663.8596516914206,23.79204755237902,947.1356509705024
42,1.68,590.3456543112179,589.1216554651328,1.0,0.0,superheated,subcooled,5998800.897183695,14969196.359711392,2940592.894288084,1436940.8911176454,629.2416051883313,31051.015127327842,663.5657708599471,21.450547801351753,853.9230812640029
43,1.72,590.3433110938038,589.2393502239127,1.0,0.0,superheated,subcooled,5998764.391391867,14968466.166040033,2940979.6920215506,1436927.997859863,629.0038178134495,31050.91516776372,663.301385130867,19.339886673332405,769.8999471867995
44,1.76,590.3411775867733,589.3454936359617,1.0,0.0,superheated,subcooled,5998727.868142339,14967735.975289216,2941328.437683846,1436916.3730044533,628.7898227162631,31050.83184363501,663.0634592623401,17.43728311477305,694.1593596645322
45,1.8,590.3392331235525,589.4412118975414,1.0,0.0,superheated,subcooled,5998691.329127476,14967005.787071185,2941642.8818692355,1436905.891531607,628.5971833327476,31050.76351445474,662.8492817474587,15.722209269480485,625.8841269697646
46,1.84,590.3374590753178,589.5275224379657,1.0,0.0,superheated,subcooled,5998654.775873514,14966275.601036418,2941926.405200151,1436896.4407539098,628.4237207890047,31050.708701818414,662.656428176176,14.176166545758829,564.3378401974056
47,1.8800000000000001,590.3358386498193,589.605344228335,1.0,0.0,superheated,subcooled,5998618.209756829,14965545.416869855,2942182.0548837353,1436887.9190977903,628.2674851355645,31050.666073335706,662.4827291261579,12.782484179222235,508.8568542684011
48,1.92,590.3343567101277,589.6755071508544,1.0,0.0,superheated,subcooled,5998581.632018606,14964815.234287493,2942412.5776432585,1436880.2350058062,628.126730067727,31050.634428163885,662.3262419558191,11.526137976167332,458.8430722996549
49,1.96,590.332999611305,589.7387605069582,1.0,0.0,superheated,subcooled,5998545.04377809,14964085.053033324,2942620.449386734,1436873.3059476903,627.9998906611494,31050.61268398545,662.1852259706436,10.39358717378732,413.75745118580096
50,2.0,590.3317550532289,589.7957807374564,1.0,0.0,superheated,subcooled,5998508.446044537,14963354.87287657,2942807.901938216,1436867.0575293074,627.8855637235665,31050.599865281707,662.0581205147384,9.372627574086735,373.1141550193764
51,2.04,590.3306119479539,589.8471784229146,1.0,0.0,superheated,subcooled,5998471.839728006,14962624.693609193,2942976.947124293,1436861.4226897715,627.7824904230032,31050.59509277035,661.9435256065954,8.452259303851292,336.4752907584113
52,2.08,590.329560300189,589.8935046275224,1.0,0.0,superheated,subcooled,5998435.225649087,14961894.515043661,2943129.3984787893,1436856.340977955,627.6895409023617,31050.59757389395,661.8401847938002,7.622567724805574,303.4461673887569
53,2.12,590.3285910995504,589.9352566449062,1.0,0.0,superheated,subcooled,5998398.604547684,14961164.337010914,2943266.8908022307,1436851.757900507,627.6057006317413,31050.606594252422,661.7469699481001,6.874616172074359,273.6710259583742
