x_pos_m,T_hot_C,T_cold_C,regime_cold,x_di,x_quality,dP_hot_kPa,dP_cold_kPa,h_cold_W_m2K,h_hot_W_m2K,q_cell_W
0.0,326.85,302.7844,init,,0.0,0.0,0.484486,0.0,0.0,0.0
0.01,326.8399,302.2277,superheated,,1.0,0.187603,0.483964,694.7866,31867.6669,99.3852
0.02,326.8295,301.6596,superheated,,1.0,0.375199,0.483445,696.3707,31866.6622,101.8614
0.03,326.8188,301.0798,superheated,,1.0,0.562789,0.482927,698.0135,31865.6321,104.4022
0.04,326.8079,300.4881,superheated,,1.0,0.750373,0.482411,699.7176,31864.576,107.0095
0.05,326.7967,299.8845,superheated,,1.0,0.93795,0.481897,701.4861,31863.4933,109.6854
0.06,326.7852,299.2687,superheated,,1.0,1.12552,0.481385,703.3221,31862.3832,112.432
0.07,326.7735,298.6406,superheated,,1.0,1.313084,0.480874,705.2291,31861.2451,115.2514
0.08,326.7614,298.0,superheated,,1.0,1.50064,0.480365,707.2105,31860.0783,118.146
0.09,326.7491,297.3467,superheated,,1.0,1.688189,0.479857,709.2703,31858.8819,121.1182
0.1,326.7364,296.6807,superheated,,1.0,1.875731,0.479351,711.4126,31857.6553,124.1704
0.11,326.7234,296.0018,superheated,,1.0,2.063265,0.478846,713.6418,31856.3976,127.3053
0.12,326.7101,295.3099,superheated,,1.0,2.250791,0.478343,715.9626,31855.108,130.5257
0.13,326.6965,294.6048,superheated,,1.0,2.438309,0.476429,718.3803,31853.7858,133.8345
0.14,326.6825,293.8864,superheated,,1.0,2.625819,0.473568,720.9002,31852.4299,137.2347
0.15,326.6681,293.1546,superheated,,1.0,2.813321,0.46991,723.5285,31851.0396,140.7297
0.16,326.6534,292.4094,superheated,,1.0,3.000813,0.465533,726.2715,31849.6138,144.3228
0.17,326.6383,291.6506,superheated,,1.0,3.188297,0.460484,729.1362,31848.1517,148.0177
0.18,326.6228,290.8781,superheated,,1.0,3.375772,0.454793,732.1304,31846.6522,151.8183
0.19,326.607,290.092,superheated,,1.0,3.563237,0.448482,735.2624,31845.1144,155.7287
0.2,326.5907,289.2922,superheated,,1.0,3.750693,0.441565,738.5412,31843.537,159.7533
0.21,326.5739,288.4787,superheated,,1.0,3.938139,0.434051,741.9769,31841.9191,163.8969
0.22,326.5568,287.6514,superheated,,1.0,4.125575,0.425947,745.5805,31840.2595,168.1645
0.23,326.5392,286.8105,superheated,,1.0,4.313001,0.41726,749.3641,31838.5569,172.5617
0.24,326.5211,285.956,superheated,,1.0,4.500416,0.407992,753.341,31836.8101,177.0944
0.25,326.5026,285.0879,superheated,,1.0,4.68782,0.39815,757.5261,31835.0178,181.7691
0.26,326.4835,284.2064,superheated,,1.0,4.875212,0.387737,761.936,31833.1787,186.5927
0.27,326.464,283.3117,superheated,,1.0,5.062594,0.376762,766.5891,31831.2912,191.5731
0.28,326.4439,282.404,superheated,,1.0,5.249963,0.365236,771.506,31829.3539,196.7186
0.29,326.4233,281.4834,superheated,,1.0,5.437321,0.353174,776.71,31827.3652,202.0386
0.3,326.4021,280.5504,superheated,,1.0,5.624666,0.340601,782.2271,31825.3233,207.5435
0.31,326.3803,279.6053,superheated,,1.0,5.811998,0.327553,788.0868,31823.2266,213.2448
0.32,326.3579,278.6485,superheated,,1.0,5.999317,0.314088,794.3227,31821.0732,219.1554
0.33,326.3349,277.6806,superheated,,1.0,6.186623,0.300303,800.9729,31818.8609,225.2898
0.34,326.3113,276.7021,superheated,,1.0,6.373915,0.2998,808.0807,31816.5877,231.6644
0.35,326.2869,275.7137,superheated,,1.0,6.561192,0.299297,815.696,31814.2513,238.2978
0.36,326.2619,275.585,superheated,,0.997265,6.748455,0.298794,823.8759,31811.8492,245.211
0.37,326.238,275.585,post_dryout,0.90893,0.994296,6.935704,0.298291,779.1816,31809.3787,233.179
0.38,326.2143,275.585,post_dryout,0.908948,0.991335,7.122939,0.297788,777.411,31807.0325,232.5708
0.39,326.1905,275.585,post_dryout,0.90897,0.988381,7.31016,0.297285,775.6388,31804.6945,231.9628
0.4,326.1669,275.585,post_dryout,0.908993,0.985435,7.497367,0.296782,773.8685,31802.3644,231.3559
