x_pos_m,T_hot_C,T_cold_C,regime_cold,x_quality,dP_hot_kPa,dP_cold_kPa,h_cold_W_m2K,h_hot_W_m2K,q_cell_W
0.0,326.85,315.9056,init,0.0,0.0,0.79681,0.0,0.0,0.0
0.01,326.8455,315.6419,superheated,1.0,0.187606,0.796284,663.4947,31867.6669,43.2663
0.02,326.841,315.3722,superheated,1.0,0.375209,0.795761,664.0277,31867.2446,44.3248
0.03,326.8363,315.0963,superheated,1.0,0.56281,0.79524,664.5763,31866.8113,45.4094
0.04,326.8315,314.8141,superheated,1.0,0.750408,0.79472,665.1413,31866.3668,46.5208
0.05,326.8266,314.5254,superheated,1.0,0.938003,0.794203,665.7231,31865.9109,47.6597
0.06,326.8216,314.2302,superheated,1.0,1.125595,0.7937,666.3223,31865.4432,48.8267
0.07,326.8165,313.9282,superheated,1.0,1.313184,0.793125,666.9395,31864.9635,50.0226
0.08,326.8112,313.6194,superheated,1.0,1.50077,0.791137,667.5753,31864.4715,51.2481
0.09,326.8058,313.3035,superheated,1.0,1.688354,0.788222,668.2305,31863.9669,52.504
0.1,326.8003,312.9806,superheated,1.0,1.875933,0.78452,668.9057,31863.4493,53.791
0.11,326.7946,312.6503,superheated,1.0,2.06351,0.780108,669.6016,31862.9184,55.1099
0.12,326.7888,312.3126,superheated,1.0,2.251083,0.775029,670.3189,31862.374,56.4616
0.13,326.7829,311.9673,superheated,1.0,2.438653,0.769314,671.0585,31861.8157,57.847
0.14,326.7768,311.6143,superheated,1.0,2.62622,0.762982,671.8211,31861.2431,59.2667
0.15,326.7706,311.2534,superheated,1.0,2.813782,0.756048,672.6076,31860.6559,60.7219
0.16,326.7642,310.8844,superheated,1.0,3.001341,0.748522,673.4189,31860.0538,62.2134
0.17,326.7577,310.5073,superheated,1.0,3.188897,0.740409,674.2559,31859.4364,63.7421
0.18,326.751,310.1217,superheated,1.0,3.376448,0.731715,675.1196,31858.8032,65.309
0.19,326.7441,309.7277,superheated,1.0,3.563995,0.722446,676.011,31858.154,66.9151
0.2,326.7371,309.3249,superheated,1.0,3.751539,0.712604,676.9312,31857.4883,68.5615
0.21,326.7299,308.9133,superheated,1.0,3.939078,0.702195,677.8813,31856.8058,70.2493
0.22,326.7225,308.4927,superheated,1.0,4.126613,0.691227,678.8625,31856.1059,71.9794
0.23,326.7149,308.0629,superheated,1.0,4.314143,0.679711,679.8759,31855.3883,73.7532
0.24,326.7072,307.6237,superheated,1.0,4.501669,0.667661,680.923,31854.6525,75.5716
0.25,326.6993,307.175,superheated,1.0,4.689191,0.655102,682.005,31853.8982,77.436
0.26,326.6912,306.7166,superheated,1.0,4.876707,0.642069,683.1234,31853.1247,79.3476
0.27,326.6828,306.2483,superheated,1.0,5.064219,0.628619,684.2797,31852.3317,81.3077
0.28,326.6743,305.77,superheated,1.0,5.251726,0.614846,685.4755,31851.5187,83.3177
0.29,326.6656,305.2814,superheated,1.0,5.439227,0.600916,686.7124,31850.6852,85.3788
0.3,326.6566,304.7825,superheated,1.0,5.626724,0.587211,687.9922,31849.8306,87.4925
0.31,326.6474,304.273,superheated,1.0,5.814215,0.586708,689.3167,31848.9545,89.6604
0.32,326.6381,303.7527,superheated,1.0,6.001701,0.579212,690.688,31848.0562,91.8839
0.33,326.6284,303.2216,superheated,1.0,6.189181,0.57167,692.108,31847.1354,94.1646
0.34,326.6185,302.6793,superheated,1.0,6.376655,0.564083,693.579,31846.1912,96.5042
0.35,326.6084,302.1258,superheated,1.0,6.564123,0.556452,695.1032,31845.2233,98.9044
0.36,326.5981,301.5609,superheated,1.0,6.751586,0.548778,696.6833,31844.231,101.3669
0.37,326.5874,300.9844,superheated,1.0,6.939042,0.541061,698.3216,31843.2137,103.8936
0.38,326.5766,300.3961,superheated,1.0,7.126491,0.533304,700.0211,31842.1707,106.4865
0.39,326.5654,299.7958,superheated,1.0,7.313935,0.525506,701.7847,31841.1013,109.1474
0.4,326.554,299.1835,superheated,1.0,7.501371,0.517669,703.6155,31840.005,111.8786
0.41,326.5422,298.5589,superheated,1.0,7.688801,0.509793,705.5168,31838.8811,114.6821
0.42,326.5302,297.9219,superheated,1.0,7.876223,0.501879,707.4923,31837.7287,117.5603
0.43,326.5179,297.2724,superheated,1.0,8.063639,0.493929,709.5457,31836.5472,120.5155
0.44,326.5053,296.6102,superheated,1.0,8.251047,0.485942,711.6812,31835.3359,123.5502
0.45,326.4923,295.9351,superheated,1.0,8.438447,0.47792,713.9032,31834.0938,126.667
0.46,326.4791,295.2471,superheated,1.0,8.62584,0.469864,716.2163,31832.8204,129.8688
0.47,326.4654,294.5459,superheated,1.0,8.813225,0.461774,718.6257,31831.5146,133.1583
0.48,326.4515,293.8316,superheated,1.0,9.000601,0.453651,721.1368,31830.1757,136.5386
0.49,326.4372,293.104,superheated,1.0,9.18797,0.445495,723.7556,31828.8028,140.0129
0.5,326.4225,292.3629,superheated,1.0,9.375329,0.437308,726.4884,31827.3949,143.5846
0.51,326.4074,291.6084,superheated,1.0,9.56268,0.429091,729.3423,31825.9511,147.2574
0.52,326.392,290.8403,superheated,1.0,9.750022,0.420843,732.3249,31824.4705,151.0351
0.53,326.3762,290.0586,superheated,1.0,9.937355,0.412566,735.4443,31822.9519,154.9218
0.54,326.3599,289.2632,superheated,1.0,10.124678,0.40426,738.7096,31821.3945,158.9217
0.55,326.3433,288.4542,superheated,1.0,10.311991,0.395926,742.1308,31819.797,163.0397
0.56,326.3262,287.6316,superheated,1.0,10.499294,0.387564,745.7186,31818.1583,167.2808
0.57,326.3086,286.7953,superheated,1.0,10.686587,0.379176,749.4851,31816.4772,171.6503
0.58,326.2906,285.9455,superheated,1.0,10.87387,0.370761,753.4436,31814.7525,176.1542
0.59,326.2721,285.0822,superheated,1.0,11.061142,0.362321,757.6086,31812.983,180.7988
0.6,326.2531,284.2055,superheated,1.0,11.248402,0.353855,761.9967,31811.1672,185.591
0.61,326.2336,283.3157,superheated,1.0,11.435652,0.345365,766.6259,31809.3037,190.5386
0.62,326.2136,282.4129,superheated,1.0,11.622889,0.336851,771.5167,31807.3911,195.6497
0.63,326.1931,281.4973,superheated,1.0,11.810115,0.328314,776.692,31805.4278,200.9337
0.64,326.1719,280.5693,superheated,1.0,11.997328,0.319754,782.1776,31803.4121,206.4006
